ID,Name,Description
S01_100,the world,
S01_210,the land,
S01_212,the soil,
S01_213,the dust,
S01_214,the mud,
S01_215,the sand,
S01_220,the mountain or hill,
S01_222,the cliff or precipice,
S01_230,the plain,
S01_240,the valley,
S01_250,the island,
S01_260,the mainland,
S01_270,the shore,
S01_280,the cave,
S01_310,the water,
S01_320,the sea,
S01_322,calm,
S01_323,rough(2),
S01_324,the foam,
S01_329,the ocean,
S01_330,the lake,
S01_340,the bay,
S01_341,the lagoon,
S01_342,the reef,
S01_343,the cape,
S01_350,the wave,
S01_352,the tide,
S01_353,the low tide,
S01_354,the high tide,
S01_360,the river or stream,
S01_362,the whirlpool,
S01_370,the spring or well,
S01_380,the swamp,
S01_390,the waterfall,
S01_410,the woods or forest,
S01_430,the wood,
S01_440,the stone or rock,
S01_450,the earthquake,
S01_510,the sky,
S01_520,the sun,
S01_530,the moon,
S01_540,the star,
S01_550,the lightning,
S01_560,the thunder,
S01_570,the bolt of lightning,
S01_580,the storm,
S01_590,the rainbow,
S01_610,the light,
S01_620,the darkness,
S01_630,the shade or shadow,
S01_640,the dew,
S01_710,the air,
S01_720,the wind,
S01_730,the cloud,
S01_740,the fog,
S01_750,the rain,
S01_760,the snow,
S01_770,the ice,
S01_780,the weather,
S01_810,the fire,
S01_820,the flame,
S01_830,the smoke,
S01_840,the ash,
S01_841,the embers,
S01_851,to burn(1),
S01_852,to burn(2),
S01_860,to light,
S01_861,to extinguish,
S01_870,the match,
S01_880,the firewood,
S01_890,the charcoal,
S02_100,the person,
S02_210,the man,
S02_220,the woman,
S02_230,male(1),
S02_240,female(1),
S02_250,the boy,
S02_251,the young man,
S02_260,the girl,
S02_261,the young woman ,
S02_270,the child(1),
S02_280,the baby,
S02_310,the husband,
S02_320,the wife,
S02_330,to marry,
S02_340,the wedding,
S02_341,the divorce,
S02_350,the father,
S02_360,the mother,
S02_370,the parents,
S02_380,the married man,
S02_390,the married woman,
S02_410,the son,
S02_420,the daughter,
S02_430,the child(2),
S02_440,the brother,
S02_444,the older brother,
S02_445,the younger brother,
S02_450,the sister,
S02_454,the older sister,
S02_455,the younger sister,
S02_456,the sibling,
S02_458,the twins,
S02_460,the grandfather,
S02_461,the old man,
