"Glottocode","Language_ID","Parameter_ID","Value","Source","Pages"
"gong1251","goe","S01_310","daŋli","ld:vanDriem:Gongduk",465
"lowa1242","loy","S01_310","t͡ʃhu","g:Kretschmar:Sudmustang",25
"sikk1242","sip","S01_310","t͡ɕhu","g:Yliniemi:Sikkimese",73
"dzon1239","dzo","S01_310","t͡ɕhu","g:Tshering:Dzongkha",49
"kurt1248","xkz","S01_310","khwe","g:Hyslop:Kurtop",40
"garo1247","grt","S01_310","t͡ʃi","gd:Burling:Modhupur-Mandi",31
"akeu1235","aeu","S01_310","ʔu55 t͡su11","d:Shintani:Gokhu",6
"dhim1246","dhi","S01_310","t͡ɕi","g:King:Dhimal:2009",77
"toto1302","txo","S01_310","t̪i","s:Chakrabarty:Toto",26
"miju1243","mxj","S01_310","tiː","d:Boro:Miju",58
"lepc1244","lep","S01_310","ʔuŋ","g:Plaisier:Lepcha",23
"limb1266","lif","S01_310","t͡ɕwaʔl","g:vanDriem:Limbu",11
"than1259","thf","S01_310","paŋku","g:Turin:Thangmi",181
"paok1235","blk","S01_310","t͡ɕhɯ33","d:Shintani:Kadaw",6
"west2873","suv","S01_310","khɔ̀","g:Lieberherr:Bulu-Puroik",540
"mila1245","mla","S01_310","asi","g:Modi:Milang",125
"tang1377","tan","S01_310","ahi","g:Post:Tangam",29
"apat1240","apt","S01_310","jasi","d:Bouchery:Apatani",685
"diga1241","mhu","S01_310","macei","s:Pulu:Taraon",89
"idum1241","clk","S01_310","maci","s:Pulu:Taraon",89
"drun1238","duu","S01_310","ŋaːŋ","t:LaPolla:Dulong",8
"chug1252","cvg","S01_310","khow","d:Bodt:Duhumbi:2020",282
