"ID","Name","Glottocode","Latitude","Longitude"
"kha","Khasi","khas1269",24.977,91.9998
"tam","Tamil","tami1289",10.520219,78.825989
"tel","Telugu","telu1262",16.4529,78.7024
"nep","Nepali","nepa1254",28,85
"bfz","Kotgarhi","maha1287",31.0088,77.5317
"hin","Hindi","hind1269",25,77
"ben","Bengali","beng1280",24,90
"pnb","Western Panjabi","panj1256",30.0368,75.6702
"mar","Marathi","mara1378",17.9344,76.6665
"bod","Tibetan","tibe1272",28.3681,90.1872
"goe","Gongduk","gong1251",27.066,91.1686
"loy","Lowa","lowa1242",29.0324,83.8959
"sip","Sikkimese","sikk1242",27.85795,88.59153
"dzo","Dzongkha","dzon1239",27.410786,89.581604
"xkz","Kurtokha","kurt1248",27.5365,90.9822
"grt","Garo","garo1247",25.2954,90.462
"aeu","Akeu","akeu1235",22.1959,101.0823
"dhi","Dhimal","dhim1246",26.6283,88.3798
"txo","Toto","toto1302",26.67,88.975
"mxj","Kman","miju1243",28.4732,97.0444
"lep","Lepcha","lepc1244",27.0869,88.5726
"lif","Limbu","limb1266",27.2703,87.8859
"thf","Thangmi","than1259",28.7554,85.7657
"blk","Pa'o Karen","paok1235",20.211,97.5969
"cvg","Duhumbi","chug1252",27.418381,92.234687
"suv","Puroik","west2873",27.455181,92.4744
"mla","Milang","mila1245",28.5539908,95.186127
"tan","Tangam","tang1377",28.95,94.98
"apt","Apatani","apat1240",27.1933,93.7284
"mhu","Tawra","diga1241",28.4993,96.8803
"clk","Idu","idum1241",29.4473,95.6472
"duu","Drung","drun1238",28.00792,98.49449
